dtmnfr,freguesia,municipio,distrito_ilha,nuts3,nuts2,nuts1,area_ha,perimetro_km,designacao_simplificada
310702,Ribeira Brava,Ribeira Brava,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1847.7,28,Ribeira Brava
310104,Fajã da Ovelha,Calheta,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,2216.31,30,Fajã da Ovelha
310405,Santo António da Serra,Machico,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,880.56,17,Santo António da Serra
310307,São Martinho,Funchal,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,798.73,16,São Martinho
310303,Funchal (Santa Luzia),Funchal,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,133.74,5,Funchal (Santa Luzia)
310101,Arco da Calheta,Calheta,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1470.51,23,Arco da Calheta
310107,Ponta do Pargo,Calheta,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,2471.19,24,Ponta do Pargo
310603,Ribeira da Janela,Porto Moniz,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1845.24,36,Ribeira da Janela
320101,Porto Santo,Porto Santo,Ilha de Porto Santo,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,4268.21,107,Porto Santo
310902,Faial,Santana,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,2400.59,36,Faial
310803,Caniço,Santa Cruz,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1200.66,22,Caniço
311003,São Vicente,São Vicente,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,4413.21,31,São Vicente
