dtmn,municipio,distrito_ilha,nuts3,nuts2,nuts1,area_ha,perimetro_km,n_freguesias
3101,Calheta,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,11151.13,63,8
3102,Câmara de Lobos,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,5216.73,46,5
3103,Funchal,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,7622.19,84,10
3104,Machico,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,6825.22,107,5
3105,Ponta do Sol,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,4626.44,34,3
3106,Porto Moniz,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,8292.49,57,4
3107,Ribeira Brava,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,6545.66,42,4
3108,Santa Cruz,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,8131.03,106,5
3109,Santana,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,9547.07,56,6
3110,São Vicente,Ilha da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,7883.9,41,3
3201,Porto Santo,Ilha de Porto Santo,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,4268.21,107,1
